Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2000);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
99;21100426607;"Proceedings of the 1st Workshop on Robot Motion and Control, RoMoCo 1999";conference and proceedings;"-";0,119;-;8;0;45;0;8;43;0,18;0,00;United States;Northern America;"";"";"Artificial Intelligence; Control and Systems Engineering"
100;96537;"Proceedings of the International Joint Conference on Neural Networks";conference and proceedings;"-";0,119;-;82;527;893;5755;98;893;0,11;10,92;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993, 1999-2003, 2005, 2008-2020";"Artificial Intelligence; Software"
101;56380;"IEEE/IAFE Conference on Computational Intelligence for Financial Engineering, Proceedings (CIFEr)";conference and proceedings;"-";0,114;-;17;43;89;337;18;87;0,09;7,84;United States;Northern America;"";"";"Applied Mathematics; Artificial Intelligence; Computer Science Applications; Finance; Software"
102;21100325433;"Robotics 1998";conference and proceedings;"-";0,105;-;3;0;50;0;2;49;0,04;0,00;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction; Software"
103;24847;"Revue d'Intelligence Artificielle";journal;"0992499X";0,103;Q4;15;18;45;550;3;45;0,10;30,56;France;Western Europe;"Lavoisier";"1995-2021";"Artificial Intelligence (Q4); Software (Q4)"
104;21100688567;"Innovation and Creativity; Mobilising the Textile Market Potential";conference and proceedings;"-";0,102;-;0;0;12;0;0;12;0,00;0,00;Switzerland;Western Europe;"";"";"Artificial Intelligence; Control and Systems Engineering"
105;18056;"Jiqiren/Robot";journal;"10020446";0,101;Q4;27;0;30;0;0;30;0,00;0,00;China;Asiatic Region;"Chinese Academy of Sciences";"1998, 2001-2021";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Electrical and Electronic Engineering (Q4); Mechanical Engineering (Q4); Modeling and Simulation (Q4); Software (Q4)"
106;79015;"Kongzhi yu Juece/Control and Decision";journal;"10010920";0,101;Q4;45;53;122;392;5;122;0,05;7,40;China;Asiatic Region;"Northeast University";"1997-2021";"Artificial Intelligence (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Software (Q4)"
107;19700180802;"Machine Intelligence and Pattern Recognition";book series;"09230459";0,101;Q4;7;0;16;0;1;14;0,00;0,00;Netherlands;Western Europe;"Elsevier";"1986, 1994, 1996-1997";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4)"
108;23616;"AI and Society";journal;"09515666, 14355655";0,100;Q4;33;22;57;704;2;57;0,04;32,00;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2021";"Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Philosophy (Q4)"
