Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
119,12409,Multidimensional Systems and Signal Processing,journal,"15730824, 09236082",0.424,Q3,41,139,1757,233,131,1.5,33.79,Netherlands,Western Europe,Springer Netherlands,1990-2021,Computer Science Applications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Signal Processing (Q2); Software (Q2); Applied Mathematics (Q3); Artificial Intelligence (Q3),2016
121,24806,Neural Processing Letters,journal,"13704621, 1573773X",0.399,Q3,58,163,3403,278,158,1.71,34.37,Netherlands,Western Europe,Springer Netherlands,1994-2021,Computer Networks and Communications (Q2); Software (Q2); Artificial Intelligence (Q3); Neuroscience (miscellaneous) (Q3),2016
122,23629,AI Magazine,journal,07384602,0.393,Q3,79,122,959,229,115,1.47,15.47,United States,Northern America,AI Access Foundation,"1984-1986, 1989-2020",Artificial Intelligence (Q3),2016
125,15435,Journal of Consciousness Studies,journal,"20512201, 13558250",0.39,Q3,67,212,3030,174,196,0.65,36.07,United Kingdom,Western Europe,Imprint Academic,1996-2021,"Philosophy (Q1); Artificial Intelligence (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Psychology (miscellaneous) (Q3)",2016
127,19900191975,Journal of Uncertain Systems,journal,"17528917, 17528909",0.388,Q3,19,104,657,80,101,0.8,19.91,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,"2011-2019, 2021",Computer Vision and Pattern Recognition (Q2); Artificial Intelligence (Q3); Control and Optimization (Q3),2016
129,24357,Journal of Experimental and Theoretical Artificial Intelligence,journal,"13623079, 0952813X",0.378,Q3,45,111,1915,160,108,1.2,37.55,United Kingdom,Western Europe,Taylor and Francis Ltd.,1989-2021,Software (Q2); Artificial Intelligence (Q3); Theoretical Computer Science (Q3),2016
133,12931,Cybernetics and Systems,journal,"10876553, 01969722",0.367,Q3,41,119,1235,145,115,1.25,31.67,United Kingdom,Western Europe,Taylor and Francis Ltd.,1980-2021,Software (Q2); Artificial Intelligence (Q3); Information Systems (Q3),2016
134,11300153726,Intelligent Data Analysis,journal,"1088467X, 15714128",0.365,Q3,48,216,2827,195,196,0.78,31.76,Netherlands,Western Europe,IOS Press BV,1997-2021,Computer Vision and Pattern Recognition (Q2); Artificial Intelligence (Q3); Theoretical Computer Science (Q3),2016
135,13880,Artificial Intelligence and Law,journal,"09248463, 15728382",0.364,Q3,41,46,733,67,44,1.28,52.36,Netherlands,Western Europe,Springer Netherlands,"1992-1993, 1995-2021",Law (Q2); Artificial Intelligence (Q3),2016
136,26138,Parallel Computing,journal,01678191,0.364,Q3,69,183,2344,336,172,1.62,28.94,Netherlands,Western Europe,Elsevier,1984-2021,Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Artificial Intelligence (Q3); Software (Q3); Theoretical Computer Science (Q3),2016
